0.92,4.39E-12,0.92,1.21E-11,,,,
0.88,1.98E-11,0.88,4.66E-12,,,,
0.84,7.30E-13,0.84,1.16E-11,,,,
0.8,2.15E-12,0.8,4.86E-12,,,,
0.76,1.13E-11,0.76,5.86E-12,,,,
0.72,1.06E-11,0.72,1.15E-11,,,,
0.68,2.64E-12,0.68,1.87E-12,,,,
0.64,8.80E-12,0.64,4.71E-12,,,,
0.6,1.11E-11,0.6,1.11E-11,,,,
0.56,5.72E-12,0.56,5.53E-12,,,,
0.52,7.85E-12,0.52,1.90E-12,,,,
0.48,1.24E-11,0.48,9.78E-12,,,,
0.44,8.94E-12,0.44,8.74E-12,,,,
0.4,4.58E-12,0.4,2.04E-12,,,,
0.36,6.69E-12,0.36,7.32E-12,,,,
0.32,1.20E-11,0.32,9.41E-12,,,,
0.28,2.06E-12,0.28,6.00E-12,,,,
0.24,6.55E-12,0.24,3.79E-12,,,,
0.2,1.13E-11,0.2,8.90E-12,,,,
0.16,4.52E-12,0.16,8.58E-12,,,,
0.12,1.63E-12,0.12,6.20E-13,,,,
0.08,8.90E-12,0.08,6.64E-12,,,,
0.04,9.80E-12,0.04,1.10E-11,,,,
0,3.55E-12,0,4.72E-12,,,,
-0.04,8.65E-12,-0.04,3.97E-12,,,,
-0.08,1.27E-11,-0.08,1.09E-11,,,,
-0.12,4.51E-12,-0.12,6.36E-12,,,,
-0.16,6.00E-12,-0.16,1.00E-13,,,,
-0.2,1.56E-11,-0.2,9.73E-12,,,,
-0.24,9.60E-12,-0.24,8.51E-12,,,,
-0.28,3.87E-12,-0.28,3.72E-12,,,,
-0.32,1.01E-11,-0.32,6.60E-12,,,,
-0.36,9.30E-12,-0.36,9.51E-12,,,,
-0.4,9.60E-13,-0.4,7.42E-12,,,,
-0.44,6.90E-12,-0.44,3.62E-12,,,,
-0.48,1.59E-11,-0.48,7.23E-12,,,,
-0.52,2.65E-12,-0.52,1.04E-11,,,,
-0.56,3.42E-12,-0.56,8.00E-14,,,,
-0.6,1.34E-11,-0.6,4.75E-12,,,,
-0.64,8.12E-12,-0.64,1.14E-11,,,,
