2.68,1.42e-07,2.68,1.58e-07,2.68,1.5677395744376527e-07
2.64,1.22e-07,2.64,1.29e-07,2.64,1.2852952739664526e-07
2.6,1.04e-07,2.6,1.14e-07,2.6,1.1346122838522867e-07
2.56,9.01e-08,2.56,9.87e-08,2.56,9.827122300956014e-08
2.52,7.74e-08,2.52,8.27e-08,2.52,8.255355014401258e-08
2.48,6.15e-08,2.48,6.65e-08,2.48,6.632193872895162e-08
2.44,5.22e-08,2.44,5.89e-08,2.44,5.880786415035142e-08
2.4,4.39e-08,2.4,4.86e-08,2.4,4.853303194149363e-08
2.36,3.67e-08,2.36,4.13e-08,2.36,4.1294803821741655e-08
2.32,2.96e-08,2.32,3.46e-08,2.32,3.460375767012352e-08
2.28,2.5e-08,2.28,2.8e-08,2.28,2.805738815411739e-08
2.24,2.04e-08,2.24,2.18e-08,2.24,2.1785922657478507e-08
2.2,1.72e-08,2.2,1.9e-08,2.2,1.9029062481701702e-08
2.16,1.4e-08,2.16,1.51e-08,2.16,1.5136079704904762e-08
2.12,1.2e-08,2.12,1.27e-08,2.12,1.271147888808774e-08
2.08,9.86e-09,2.08,1.05e-08,2.08,1.0553823648043154e-08
2.04,8.33e-09,2.04,8.77e-09,2.04,8.75082561444282e-09
2.0,6.54e-09,2.0,7.16e-09,2.0,7.19689394434263e-09
1.96,5.59e-09,1.96,6.28e-09,1.96,6.295610943613212e-09
1.92,4.41e-09,1.92,5.33e-09,1.92,5.323822843821137e-09
1.88,3.56e-09,1.88,4.17e-09,1.88,4.190727786545193e-09
1.84,3.02e-09,1.84,3.4e-09,1.84,3.448000342131706e-09
1.8,2.43e-09,1.8,2.97e-09,1.8,2.998808124772008e-09
1.76,1.93e-09,1.76,2.4e-09,1.76,2.4260603142194112e-09
1.72,1.67e-09,1.72,1.83e-09,1.72,1.8308545758038956e-09
1.68,1.39e-09,1.68,1.57e-09,1.68,1.6306189833661186e-09
1.64,1.09e-09,1.64,1.17e-09,1.64,1.2572687679662177e-09
1.6,9.36e-10,1.6,1.02e-09,1.6,1.0805457523091953e-09
1.56,7.65e-10,1.56,7.8e-10,1.56,8.672010376113255e-10
1.52,5.93e-10,1.52,6.1e-10,1.52,6.361390273608314e-10
1.48,4.9e-10,1.48,4.56e-10,1.48,4.66254186380353e-10
1.44,3.82e-10,1.44,3.39e-10,1.44,3.6572589409695576e-10
1.4,2.94e-10,1.4,2.77e-10,1.4,3.6333095751742125e-10
1.36,2.47e-10,1.36,2.08e-10,1.36,3.161025460557965e-10
1.32,2e-10,1.32,1.42e-10,1.32,1.7333389367626557e-10
1.28,1.37e-10,1.28,1.26e-10,1.28,1.722850610638007e-10
1.24,1.25e-10,1.24,7.99e-11,1.24,1.192095095229052e-10
1.2,9.35e-11,1.2,5.96e-11,1.2,1.4887928441206308e-10
1.16,5.64e-11,1.16,5.74e-11,1.16,7.758244896808965e-11
1.12,6.15e-11,1.12,2.75e-11,1.12,7.355901671731764e-11
1.08,4.34e-11,1.08,2.76e-11,1.08,7.12244428771687e-11
1.04,2.21e-11,1.04,2.61e-11,1.04,3.340834842060627e-11
1.0,3.28e-11,1.0,4.02e-12,1.0,1.0221504726925339e-10
0.96,1.52e-11,0.96,1.39e-11,0.96,8.696494380413011e-11
